Word,Pron,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy
leave,"l""iv",1,VB|NN,565.82,-0.73,158.89,33,0.97,617.85,-0.55,146.14,26,1
leaven,"l""E.vn=",1,VB,851.47,0.11,341.59,17,0.52,746.95,0.21,277.26,19,0.76
leavened,"l""E.vn=d",2,VB,814.32,0.3,241.4,25,0.76,782.44,0.2,188.3,16,0.64
leavening,"l""E.vn=.IN",2,VB|NN,780.38,0.25,258.76,26,0.81,883.7,0.24,379.72,20,0.77
leaves,"l""ivz",2,VB,583.61,-0.67,165.8,33,0.97,538.78,-0.75,72.11,27,0.96
leaving,"l""iv.IN",2,VB|NN,654.43,-0.59,257.16,35,1,581.15,-0.61,97.37,27,1
leavings,"l""iv.INz",3,NN,712.54,-0.18,297.72,26,0.79,672.56,-0.22,153.1,27,1
Lebanese,"l%E.b@.n""iz",1,JJ|NN,761.79,0,201.95,28,0.85,889.83,0.49,285.23,24,0.92
Lebanon,"l""E.b@.n@n",1,NN,764.87,0.04,226.68,30,0.91,676.79,-0.29,146,24,0.89
lecher,"l""E.tS@`",2,NN,779.38,0.16,336.12,16,0.47,735.57,0.01,163.11,21,0.81
lecherous,"l""E.tS@`.@s",3,JJ,856.63,0.47,319.84,16,0.48,879.79,0.51,310.94,19,0.73
lechery,"l""E.tS@`.i",3,NN,789.96,0.09,327.03,27,0.79,765.76,0.14,294.39,17,0.68
lectern,"l""Ek.t3`n",1,NN,761.5,-0.02,276.16,14,0.44,751.38,0.06,230.54,21,0.78
lecture,"l""Ek.tS@`",2,NN|VB,552.71,-0.76,97.55,35,1,587.07,-0.7,151.65,27,0.96
lectured,"l""Ek.tS@`d",3,VB,715.65,-0.47,248.11,31,0.94,613.42,-0.49,166.24,26,1
lecturer,"l""Ek.tS@`.@`",3,NN,788.42,-0.14,328.15,33,1,656.56,-0.4,170.52,27,1
lectures,"l""Ek.tS@`z",3,NN|VB,677.28,-0.47,191.14,32,0.97,629.25,-0.51,182.38,28,1
lecturing,"l""Ek.tS@`.IN",3,VB,741.63,-0.09,328.36,35,1,646,-0.39,210.71,27,1
led,"l""Ed",1,VB,660.65,-0.43,331.63,31,0.97,559.89,-0.76,92.16,27,0.96
ledge,"l""EdZ",1,NN,614,-0.52,168.52,31,0.91,598.21,-0.63,88.76,28,1
ledger,"l""EdZ.@`",2,NN,704.87,-0.31,252.15,31,0.89,661.23,-0.4,178.66,26,0.93
ledgers,"l""EdZ.@`z",3,NN,934.52,0.23,423.87,27,0.82,645,-0.36,138.42,28,1
ledges,"l""EdZ.@z",2,NN,636.6,-0.53,136.61,30,0.94,638.52,-0.54,124,27,0.96
leech,"l""itS",1,NN,728.33,-0.14,333.2,30,0.88,584.33,-0.59,118.5,24,1
leek,"l""ik",1,NN,656.21,-0.46,178.57,29,0.85,582.32,-0.73,109.94,28,1
leer,"l""Ir",1,NN|VB,706.2,-0.22,301.18,25,0.76,574.88,-0.62,70.59,25,0.93
leered,"l""Ird",2,VB|JJ,764.09,0.06,164.65,23,0.68,688.69,-0.18,109.54,26,0.96
leering,"l""Ir.IN",2,VB,757.33,-0.04,292.19,33,0.94,603.54,-0.49,160.19,26,1
leery,"l""I.ri",1,JJ,862.15,0.21,235.93,27,0.82,648.41,-0.39,108.94,27,0.96
Lee's,"l""iz",2,encl,645.73,-0.53,233.08,33,0.97,570.63,-0.76,99.98,24,1
leeway,"l""i.w%e",2,NN,875.7,0.35,307.64,27,0.77,688.63,-0.23,120.29,27,1
left,"l""Eft",1,VB|NN|JJ,573.15,-0.79,199.63,33,0.97,555.71,-0.76,87.64,28,1
leftfield,"""lEft.fild",NULL,NULL,878.89,0.26,256.46,28,0.88,714.04,-0.02,132.5,28,1
lefthander,"l%Eft.h""an4.@`",3,NN,828.43,0.18,290.14,28,0.9,696.96,-0.12,131.43,26,0.96
lefthanders,"l%Eft.h""an4.@`z",4,NN,917.3,0.59,479.53,27,0.9,649.79,-0.25,154.87,24,0.89
leftist,"l""Eft.Ist",2,JJ,894.65,0.6,392.69,17,0.57,681.42,-0.27,254.07,24,0.86
leftovers,"l""Eft.%o.v@`z",3,NN,754.06,-0.16,296.6,31,0.97,615,-0.5,117.96,27,1
leftward,"l""Eft.w@`d",2,JJ,853.24,0.24,333.16,33,0.94,676.86,-0.28,215.78,28,1
leg,"l""Eg",1,NN|VB,554.91,-0.78,152.68,33,0.97,566.11,-0.72,86.44,28,1
legacies,"l""E.g@.siz",3,NN,871.77,0.1,384.39,31,0.91,719.33,-0.04,169.47,27,1
legacy,"l""E.g@.si",2,NN,652.55,-0.35,226.64,31,0.97,640.12,-0.41,213.42,26,1
legal,"l""i.g@l",1,JJ|NN,562,-0.74,129.35,33,0.97,565.41,-0.67,87.37,27,1
legalism,"l""i.g@l.%I.zm=",2,NN,727.87,-0.07,232.83,31,0.94,672.12,-0.11,183.72,26,0.96
legality,"lI.g""al.@.4i",2,NN,741.48,-0.16,310.72,31,0.94,718.57,0.03,197.06,21,0.78
legalization,"l%i.g@l.@z.""e.Sn=",3,NN,848.94,0.15,254.68,33,1,784.48,0.03,165.74,27,1
legalize,"l""i.g@l.aIz",2,VB,718.47,-0.15,261.41,32,0.94,636.78,-0.3,137.73,27,1
legalized,"l""i.g@l.aIzd",3,VB,685.97,-0.39,168.33,35,1,685.14,-0.32,129.92,28,1
legally,"l""i.g@l.i",2,RB,699.29,-0.39,318.69,34,1,704.93,-0.2,181.51,28,1
legend,"l""E.dZ@nd",1,NN,609.06,-0.74,221.64,32,1,626.43,-0.47,144.63,28,1
legendary,"l""E.dZ@nd.%E.ri",2,JJ,679.5,-0.31,245.73,30,0.97,628.96,-0.43,106.3,28,1
legends,"l""E.dZ@ndz",2,NN,584.12,-0.66,155.96,33,1,611,-0.57,134.59,27,1
leger,"l""E.dZ@`",1,NN,717.17,-0.03,189.37,12,0.35,724.82,-0.01,191.4,22,0.79
legers,"l""E.dZ@`z",2,NN,885.62,0.23,286.54,13,0.39,750.06,0.14,139.02,17,0.74
legged,"l""Egd",2,VB|JJ,768.38,0.09,325.24,26,0.79,653.3,-0.44,144.59,23,0.96
leggings,"l""Eg.INz",3,NN,697,-0.21,215.59,31,0.97,668.56,-0.27,154.2,25,0.93
leggy,"l""Eg.i",2,JJ,797.13,0.07,402.93,23,0.68,712.29,-0.07,174.77,28,1
legible,"l""E.dZ@.bl=",1,JJ,749.97,-0.22,415.23,32,0.94,629.04,-0.54,130.09,28,1
legion,"l""i.dZ@n",1,NN,679.03,-0.37,144.63,30,0.94,683.67,-0.19,153.78,27,1
legibility,"l%E.dZ@.b""Il.@.4i",2,NN,815.3,0.09,289.22,30,0.91,770.53,0.25,260.46,17,0.68
joyfully,"dZ""OI.fl=.i",3,RB,698.44,-0.39,192.75,34,1,673.23,-0.23,157.61,26,1
joyous,"dZ""OI@s",2,JJ,704.82,-0.18,253.19,33,0.97,633.07,-0.36,127.51,28,1
joyously,"dZ""OI@s.li",3,RB,871.78,0.24,410.68,32,0.91,783.26,0.11,180.48,27,0.96
joyride,"dZ""OI.r%aId",2,NN|VB,720.39,-0.25,210.2,33,0.97,681.54,-0.27,90.96,28,1
joys,"dZ""OIz",2,NN,560.03,-0.7,122.17,33,0.97,588.21,-0.58,71.57,28,1
joystick,"dZ""OI.st%Ik",2,NN,656.91,-0.35,210.01,32,0.97,636.42,-0.38,110.26,26,1
Juan,"hw""An",1,NN,708.85,-0.25,210.12,27,0.84,715.67,0.03,159.11,27,1
Juanita,"hwA.n""i.4@",1,NN,955.46,0.38,502.41,28,0.85,817.46,0.4,236.49,26,1
Juanita's,"hwA.n""i.4@z",2,encl,919.5,0.31,314.44,28,0.8,828.95,0.41,198.28,21,0.84
jubilant,"dZ""u.bI.l@nt",2,JJ,808.93,0.12,265.21,29,0.88,774.08,0.23,155.99,24,0.96
jubilation,"dZ%u.bI.l""e.Sn=",3,NN,893.36,0.14,328.63,22,0.69,804.35,0.19,243.64,26,0.93
jubilee,"dZ""u.b@.l%i",2,NN,710.03,-0.21,189.95,31,0.89,725.19,-0.06,159.43,27,1
Judah,"dZ""u.4@",1,NN,821.76,-0.06,319.21,29,0.85,725.15,-0.05,169.64,27,0.96
Judaic,"dZu.d""e.Ik",2,JJ,858.79,0.43,284.81,24,0.73,885.8,0.87,229.52,25,0.89
Judaism,"dZ""u.de.%I.zm=",2,NN,719.06,-0.21,384.92,33,1,721.13,0.08,153.15,24,0.96
Judas,"dZ""u.4@s",1,NN,768.17,-0.06,291.44,29,0.88,701.08,-0.12,148.31,25,1
Jude,"dZ""ud",1,NN,655.91,-0.47,163.08,32,1,647.91,-0.31,122.12,23,1
Judea,"dZu.d""i@",1,NN,782.17,0.06,252.49,23,0.7,874.13,0.41,205.39,23,0.88
judge,"dZ""VdZ",1,NN|VB,599.12,-0.61,202.94,33,1,592.27,-0.56,119.96,26,1
judged,"dZ""VdZd",2,VB,630.72,-0.57,285.62,29,0.91,644.32,-0.31,160.55,25,1
judgement,"dZ""VdZ.m@nt",2,NN,638.94,-0.38,204.75,34,1,603.5,-0.51,102.82,28,1
judges,"dZ""VdZ.@z",2,NN|VB,672.16,-0.52,283.93,31,0.91,583.89,-0.55,71.95,27,1
judge's,"dZ""VdZ.@z",2,encl,601.82,-0.54,138.04,33,1,653.72,-0.35,103.48,25,1
judgeship,"dZ""VdZ.SIp",2,NN,909.58,0.47,379.48,26,0.81,738.91,0.04,124.27,23,0.88
judging,"dZ""VdZ.IN",2,VB|NN,670.06,-0.5,192.45,33,1,652.27,-0.36,182.51,26,0.96
judgment,"dZ""VdZ.m@nt",2,NN,656.1,-0.53,256.18,29,0.94,610.46,-0.49,73.83,28,1
judicial,"dZu.d""I.Sl=",2,JJ,798.12,-0.16,311.35,34,1,688.19,-0.18,98.7,26,1
judiciaries,"dZu.d""I.Si.%E.riz",3,NN,962.96,0.61,435.98,26,0.79,820.61,0.8,157.34,23,0.88
judiciary,"dZu.d""I.Si.%E.ri",2,NN,821.9,0.05,386.14,31,0.89,817.69,0.58,224.84,26,0.96
judicious,"dZu.d""I.S@s",2,JJ,783.76,0.16,320.66,29,0.85,826.1,0.4,235.8,20,0.87
Judith,"dZ""u.4IT",1,NN,685.31,-0.19,158.75,32,0.94,661.85,-0.14,120.37,26,0.96
judo,"dZ""u.4o",1,NN,842.9,-0.05,409.37,29,0.88,655.19,-0.27,119,26,0.96
Judy,"dZ""u.4i",2,NN,606.38,-0.53,226.49,32,0.97,670.81,-0.37,156.06,27,1
jug,"dZ""Vg",1,NN,655.27,-0.54,309.22,33,0.97,602.36,-0.5,95.73,28,1
juggernaut,"dZ""V.g@`.nOt",1,NN,871.44,0.41,321.66,18,0.51,894.41,0.58,337.99,22,0.85
juggle,"dZ""V.gl=",1,VB,627.36,-0.43,172.4,33,1,635.92,-0.41,123.3,26,0.96
juggling,"dZ""V.gl=.IN",2,VB|NN,698.94,-0.38,255.58,31,0.94,677.79,-0.22,171.63,28,1
jugular,"dZ""V.gj@.l@`",1,JJ|NN,952,0.35,411.61,28,0.85,777.44,0.24,201.26,25,0.93
juice,"dZ""us",1,NN,580.67,-0.77,157.84,33,1,655.48,-0.36,99.62,23,1
juices,"dZ""us.@z",2,NN,621.88,-0.52,181.6,33,1,692.58,-0.2,171.22,24,1
juiciest,"dZ""us.i.Ist",3,JJ,917.63,0.7,415.54,19,0.61,863.32,0.73,212.18,22,0.92
